,,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
2014,"Three theoretical approaches to pirate entrepreneurship: Towards future studies of pirate entrepreneurship","Kaivo-Oja J.",14761297,"International Journal of Entrepreneurship and Small Business",22, 4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,3
2014,"Exploring the relevancy of Massive Open Online Courses (MOOCs): A Caribbean university approach","Dyer R.A.D.",10401628,"Information Resources Management Journal",27, 2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,3
2014,"Music consumption at the dawn of the music industry: The rise of a cultural fad","Guerzoni M., Nuccio M.",08852545,"Journal of Cultural Economics",38, 2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,3
2013,"Tablets: The next disruptive computing technology?","Cortimiglia M.N., Frank A.G., Seben L.",15209202,"IT Professional",15, 3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,3
2013,"Biotechnology innovation: A legitimacy-based view","Ahn M.J., York A.S., Sohn S.Y., Benyamini P.",02198770,"International Journal of Innovation and Technology Management",10, 4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3
2013,"Disruptive innovation: contributing to a value-based health care system.","Block D.",08982759,"Physician executive",39, 5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,3
2012,"Reflections on the state of specialized libraries: Five global trends all knowledge professionals should understand","Caputo A.",01675265,"Information Services and Use",32, 3-4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,3
2012,"Incumbent heterogeneity in creative destruction: A study of three Dutch newspaper organisations","van Moorsel H., He Z.-L., Oltmans E., Huibers T.",09537325,"Technology Analysis and Strategic Management",24, 10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,3
2012,"Model for roadmapping disruptive innovation based on technology evolution theory","Sun J., Tan R., Jiang P.",05776686,"Jixie Gongcheng Xuebao/Journal of Mechanical Engineering",48, 11,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,3
2012,"Transistors, electric vehicles and leapfrogging in China and Japan","Kimble C., Wang H.",02756668,"Journal of Business Strategy",33, 3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,3
2012,"Strengthening competency linkage to innovation at Korean universities","Lee Y.-G.",01389130,"Scientometrics",90, 1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,3
2011,"Disruptive innovation: The Southwest Airlines case revisited","Raynor M.E.",10878572,"Strategy and Leadership",39, 4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,3
2011,"Has the Picture Archiving and Communication System (PACS) become a commodity?","Chen J., Bradshaw J., Nagy P.",08971889,"Journal of Digital Imaging",24, 1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,3
2011,"Lessons to jumpstart disruptive innovation","Skarzynski P., Rufat-Latre J.",10878572,"Strategy and Leadership",39, 1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,3
2009,"Disruptive Internet-service innovation diffusion","Georgantzas N.C., Katsamakas E.",01672533,"Human Systems Management",28, 4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,3
2008,"Challenging the advantages of scale: Disposable factories and strategies","Stalk G.",10878572,"Strategy and Leadership",36, 4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,3
2008,"A Ubiquitous wireless network architecture and its impact on optical networks","Ichikawa H., Shimizu M., Akabane K., Ishida O., Teramoto M.",13891286,"Computer Networks",52, 10,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,3
2008,"Sun ray's struggle to overcome innovation trauma","Moldenhauer-Salazar J., Valikangas L.",10878572,"Strategy and Leadership",36, 3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,3
2019,"Disruptive innovation of cryptocurrencies in consumer acceptance and trust","Mendoza-Tello J.C., Mora H., Pujol-Lopez F.A., Lytras M.D.",16179846,"Information Systems and e-Business Management",17, 2-4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2019,"Emerging technology and business model innovation: The case of artificial intelligence","Lee J., Suh T., Roy D., Baucus M.",21998531,"Journal of Open Innovation: Technology, Market, and Complexity",5, 3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2019,"Measurement framework for assessing disruptive innovations","Guo J., Pan J., Guo J., Gu F., Kuusisto J.",00401625,"Technological Forecasting and Social Change",139, ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2019,"Re-designing the business organization using disruptive innovations based on blockchain-IoT integrated architecture for improving agility in future Industry 4.0","Rane S.B., Narvel Y.A.M.",14635771,"Benchmarking",, ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2019,"Designing decentralized knowledge management systems to effectuate individual and collective generative capacities","Schmitt U.",0368492X,"Kybernetes",, ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2019,"The structure of emergent prefabricated housing industries: a comparative case study of Australia and Sweden","Steinhardt D., Manley K., Bildsten L., Widen K.",01446193,"Construction Management and Economics",, ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2018,"Drivers for Change: A Study of Distributed Leadership and Performance Adaptation During Policy Innovation Implementation","Zuckerman S.J., Wilcox K.C., Durand F.T., Lawson H.A., Schiller K.S.",15700763,"Leadership and Policy in Schools",17, 4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2018,"Physio-ecological regulating mechanisms for highly efficient water use of crops","Dong B., Liu H., Wang Y., Qiao Y., Zhang M., Yang H., Jin L., Liu M.",16713990,"Chinese Journal of Eco-Agriculture",26, 10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2018,"Understanding the disruptive business model innovation of E-business microcredit: a comparative case study in China","Zhang W., Daim T., Zhang Q.",09537325,"Technology Analysis and Strategic Management",30, 7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2018,"EaaS Optimization: Available yet hidden information technology infrastructure inside medium size enterprise","JosephNg P.S.",00401625,"Technological Forecasting and Social Change",132, ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2018,"Exploration of the evolution of nanotechnology from a patent co-classification perspective","Wang A.-P., Hou C.-E., Hung S.-W.",21919089,"Nanotechnology Reviews",7, 3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2018,"The provider perspective: Investigating the effect of the Electronic Patient-Reported Outcome (ePRO) mobile application and portal on primary care provider workflow","Hans P.K., Gray C.S., Gill A., Tiessen J.",14634236,"Primary Health Care Research and Development",19, 2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2018,"Existing knowledge assets and disruptive innovation: The role of knowledge embeddedness and specificity","Lin C., Li B., Wu Y.J.",20711050,"Sustainability (Switzerland)",10, 2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2018,"Innovation in EU Competition Law: The Resource-Based View and Disruption","Costa-Cabral F.",02633264,"Yearbook of European Law",37, ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2018,"Moocs: Innovation or stagnation?","Pilli O., Admiraal W., Salli A.",13026488,"Turkish Online Journal of Distance Education",19, 3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2018,"Value innovation and how to successfully incubate “blue ocean” initiatives","Leavy B.",10878572,"Strategy and Leadership",46, 3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2018,"Online consulting in general practice: Making the move from disruptive innovation to mainstream service","Marshall M., Shah R., Stokes-Lampard H.",09598146,"BMJ (Online)",360, ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2018,"Disruptive innovation at the base-of-the-pyramid: Opportunities, and challenges for multinationals in African emerging markets","Adegbile A., Sarpong D.",17422043,"Critical Perspectives on International Business",14, 2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2017,"A Novel Approach to Innovation Platforms: Symbiotic On/Off Spaces, Cross-Industry Sponsor","Coste J.-D., Gatzke S.",21680256,"New Space",5, 3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
2017,"A inovação, o desenvolvimento e o papel da Universidade","Audy J.",01034014,"Estudos Avancados",31, 90,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2017,"Enhancing sustainable mobility through a multimodal platform: Would travellers pay for it?","Dantan S., Bulteau J., Nicolai I.",09601406,"International Journal of Sustainable Development",20, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2017,"Dynamics of disruptive innovations in outperforming global brands: A study in Mexico","Reyes-Mercado P., Rajagopal",17560047,"International Journal of Business Excellence",11, 1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2016,"Organizational Ambidexterity and the Elusive Quest for Successful Implementation of BoP Ventures","Reficco E., Gutierrez R.",10860266,"Organization and Environment",29, 4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
2016,"Technology trajectory mapping using data envelopment analysis: the ex ante use of disruptive innovation theory on flat panel technologies","Lim D.-J., Anderson T.R.",00336807,"R and D Management",46, 5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2016,"Walking and health: an enactive affective system","Rodrigues Lucena T.F., Fleury Rosa S.R., Miosso C.J., da Silva Torres R., Krueger T., Domingues D.M.G.",14626268,"Digital Creativity",27, 4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2016,"Disruptive Innovation in Graduate Nursing Education: Tipping the Scales for Online Education","Thompson C.J.",08876274,"Clinical Nurse Specialist",30, 5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2016,"The future of academic innovation in the field of medical devices: is innovation still possible in orthopedics?","Courvoisier A.",17434440,"Expert Review of Medical Devices",13, 9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2
2016,"Disruptive innovation and economic value creation: A service sector perspective","Kar S.K., Padhi S.K., Samantarai M.",09752854,"Prabandhan: Indian Journal of Management",9, 8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
2016,"Innovation as clarifications: lessons from bat and ball sports","Goorha P.",14479338,"Innovation: Management, Policy and Practice",18, 3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2016,"Electronic monitoring and penal reform: Constructive resistance in the age of ""coercive connectedness""","Nellis M.",14750279,"British Journal of Community Justice",14, 1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2
2016,"Nurse executives wearing 2 hats as strategic leaders","Boston-Fleischhauer C.",00020443,"Journal of Nursing Administration",46, 10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
2016,"Ubiquitous revolution, customer needs and business intelligence? Empirical evidence from the Japanese healthcare sector","Virtanen P., Kaivo-Oja J., Ishino Y., Stenvall J., Jalonen H.",14761289,"International Journal of Web Engineering and Technology",11, 3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2
2016,"Preparing nurse leaders to innovate: Iowa’s innovation seminar","Joseph M.L., Rhodes A., Watson C.A.",01484834,"Journal of Nursing Education",55, 2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2016,"Materiomics for Oral Disease Diagnostics and Personal Health Monitoring: Designer Biomaterials for the Next Generation Biomarkers","Zhang W., Wang M.L., Khalili S., Cranford S.W.",15362310,"OMICS A Journal of Integrative Biology",20, 1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2
2015,"Professional Development of Continuing Higher Education Unit Leaders: A Need for a Competency-Based Approach","Bacheler M.",07377363,"Journal of Continuing Higher Education",63, 3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2
2014,"The role of social entrepreneurship in leveraging exaptation in locked-in industrial districts: The case of idrogenet in the industrial district of Lumezzane","Ganzaroli A., De Noni I., Pilotti L.",13511610,"Innovation",27, 3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2014,"Recognizing the ecosystem phase-change: A guide to four types","Shaughnessy H.",10878572,"Strategy and Leadership",42, 1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2
2013,"Knowledge management in the age of cloud computing and web 2.0: Experiencing the power of disruptive innovations","Sultan N.",03608581,"IEEE Engineering Management Review",41, 4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
2013,"Supporting decisions in SMEs projects of disruptive technological innovation by balancing values and risks related to stakeholders","Bertoluci G., Boucquet J.C., Petetin F.",23173963,"Journal of Modern Project Management",1, 2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
2013,"Envisioning the Internet: Implementing 'disruptive innovation' in media organizations","Ashuri T.",13960466,"First Monday",18, 5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2
2013,"Commoditization of PACS and the opportunity for disruptive innovation","Reiner B.I.",08971889,"Journal of Digital Imaging",26, 2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2
2012,"Changes in the global mobile market and new challenges for LG mobile","Park N.K., Lee J., Suh J., Kim H.",10784950,"Journal of the International Academy for Case Studies",18, 3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
2012,"The battle to counter disruptive competition: continuous innovation vs “good” management","Denning S.",10878572,"Strategy &amp; Leadership",40, 4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2
2012,"Open education and systemic change","Marshall S.",10748121,"On the Horizon",20, 2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2
2011,"Transforming American education","Horn M.B., Mackey K.",17418887,"E-Learning and Digital Media",8, 2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2
2010,"Integration of 3G connectivity in planetlab Europe :A step of an evolutionary path towards heterogeneous large scale network testbeds","Botta A., Canonico R., Di Stasi G., Pescape A., Ventre G., Fdida S.",1383469X,"Mobile Networks and Applications",15, 3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2
2009,"The art of displacement: Designing experiential systems and transverse epistemologies as conceptual criticism","Hughes R.",18751504,"Footprint",, 4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
2008,"A framework for analysis of ambidexterity and performance in small-to-medium-sized firms","Bolinao E.N.",01167111,"DLSU Business and Economics Review",17, 1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2
2008,"Disruptive innovation. NPs are true health care reformers.","Heidesch T.",10966293,"Advance for nurse practitioners",16, 12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2
2019,"Predicting the future of disruptive technologies: The method of alternative histories","Krotov V.",00076813,"Business Horizons",62, 6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Market entry strategies for electric vehicle start-ups in the automotive industry – Lessons from Tesla Motors","Thomas V.J., Maine E.",09596526,"Journal of Cleaner Production",235, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Digitalisation, automation and upgrading in global value chains - factory economy actors versus lead companies","Szalavetz A.",14631377,"Post-Communist Economies",31, 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"An arts-based educational exhibit on menopausal hot flashes","Carpenter J.S., Kesling M., Schmidt K.K.",10723714,"Menopause",26, 9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Seed conglomeration: a disruptive innovation to address restoration challenges associated with small-seeded species","Hoose B.W., Call R.S., Bates T.H., Anderson R.M., Roundy B.A., Madsen M.D.",10612971,"Restoration Ecology",27, 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"“Soft law” and innovations: empirical analysis of ICO-related statements","Dostov V., Shust P., Leonova A., Krivoruchko S.",23985038,"Digital Policy, Regulation and Governance",21, 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Service-delivery success and failure under the sharing economy","Furunes T., Mkono M.",09596119,"International Journal of Contemporary Hospitality Management",31, 8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"A framework of disruptive sustainable innovation: an example of the Finnish food system","Kuokkanen A., Uusitalo V., Koistinen K.",09537325,"Technology Analysis and Strategic Management",31, 7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Anticipating Disruptive Innovations With Foresight Leadership","Pesut D.J.",15505103,"Nursing administration quarterly",43, 3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Telehealth: Disrupting Time for Health Care Quantity and Quality","Finley B.A., Shea K.D.",15505103,"Nursing administration quarterly",43, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2019,"Disruptive innovation from a process view: A systematic literature review","Petzold N., Landinez L., Baaken T.",09631690,"Creativity and Innovation Management",28, 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Hybrid potato breeding: A framework for mapping contested socio-technical futures","Beumer K., Edelenbosch R.",00163287,"Futures",109, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"An experimental model of regulating the sharing economy in China: The case of online car hailing","Jiang H., Zhang X.",02673649,"Computer Law and Security Review",35, 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Co-innovating to Accelerate Transformation and Create New Value","Bordignon D.",13483447,"NTT Technical Review",17, 3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Legal technologies in action: The future of the legal market in light of disruptive innovations","Hongdao Q., Bibi S., Khan A., Ardito L., Khaskheli M.B.",20711050,"Sustainability (Switzerland)",11, 4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"How Incumbents Manage Waves of Disruptive Innovations: An Exploratory Analysis of the Global Music Industry","Urbinati A., Chiaroni D., Chiesa V., Franzo S., Frattini F.",02198770,"International Journal of Innovation and Technology Management",16, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"A methodology to support the adoption of IoT innovation and its application to the Italian bank branch security context","Ammirato S., Sofo F., Felicetti A.M., Raso C.",14601060,"European Journal of Innovation Management",22, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Disruptive Marketing Communication for Customer Engagement. The New Frontiers of Mobile Instant Messaging","Marino V., Lo Presti L.",14241277,"JMM International Journal on Media Management",21, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Teacher education and the GERM: policy entrepreneurship, disruptive innovation and the rhetorics of reform","Ellis V., Steadman S., Trippestad T.A.",00131911,"Educational Review",71, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Blockchain as a disruptive technology for business: A systematic review","Frizzo-Barker J., Chow-White P.A., Adams P.R., Mentanko J., Ha D., Green S.",02684012,"International Journal of Information Management",, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"[Education in forest sciences and engineering for post-2025 managers, Former des cadres en sciences et ingénierie forestières pour l’après 2025]","Fournier M., Maroille F., Peyron J.-L.",00352829,"Revue Forestiere Francaise",71, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Exploring motivational mechanisms behind the intention to adopt mobility as a service (MaaS): Insights from Germany","Schikofsky J., Dannewald T., Kowald M.",09658564,"Transportation Research Part A: Policy and Practice",, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Bashneft digital transformation: From concept design to implementation","Shishkin A.N., Timashev E.O., Solovykh V.I., Volkov M.G., Kolonskikh A.V.",00282448,"Neftyanoe Khozyaystvo - Oil Industry",2019, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2019,"New business models and the sharing economy: impacts and challenges for the traditional automotive industry","Lasmar E.L., Gandia R.M., Sugano J.Y., De Souza T.A., Rodriguez D.Z.",14709511,"International Journal of Automotive Technology and Management",19, 3-4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Policy support for disruptive innovation in the life sciences","Tait J., Wield D.",09537325,"Technology Analysis and Strategic Management",, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Authenticity and commodification: A visual analysis of p2p tourism accommodation listing page","Lee Y.-H., Low S.-Y., Low C.-H.",24634522,"Asian Journal of Business Research",9, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"The Global academic research organization network: Data sharing to cure diseases and enable learning health systems","Fukushima M., Austin C., Sato N., Maruyama T., Navarro E., Rocca M., Demotes J., Haendel M., Volchenboum S.L., Cowperthwaite M., Silverstein J.C., Webb C., Sim I., Chase M., Speakman J., Augustine E., Ford D.E., Kush R.",23796146,"Learning Health Systems",3, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2019,"Research on Supply Chain Coordination Based on Block Chain Technology and Customer Random Demand","Li Y., Wang B., Yang D.",10260226,"Discrete Dynamics in Nature and Society",2019, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2019,"An experimental approach to regulating non-military unmanned aircraft systems","Du H., Heldeweg M.A.",13600869,"International Review of Law, Computers and Technology",33, 3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Incumbents as disruptor and their disruptive behaviour enabling disruptive innovation: case study of high performance and low cost CPU and foundry market","Park C.",09537325,"Technology Analysis and Strategic Management",30, 12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"The impact of pre-entry experiences on entry decisions and firm survival","Gang K.",00401625,"Technological Forecasting and Social Change",137, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2018,"Innovations in Indian financial system: remedy for economic growth?","Pandey A., Banwet D.K.",09537325,"Technology Analysis and Strategic Management",30, 11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"A runtime-scalable and hardware-accelerated approach to on-board linear unmixing of hyperspectral images","Ortiz A., Rodriguez A., Guerra R., Lopez S., Otero A., Sarmiento R., de la Torre E.",20724292,"Remote Sensing",10, 11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Unobtrusive Maintenance: Temporal Complexity, Latent Category Control and the Stalled Emergence of the Cleantech Sector","Zietsma C., Ruebottom T., Slade Shantz A.",00222380,"Journal of Management Studies",55, 7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"The impact of innovative technology exploration on firm value sustainability: The case of part supplier management","Son I., Kim J., Park G., Kim S.",20711050,"Sustainability (Switzerland)",10, 10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Positive and Negative Link Prediction Algorithm Based on Sentiment Analysis in Large Social Networks","Das D.",09296212,"Wireless Personal Communications",102, 3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Blockchain in solar energy","Themistocleous M., Stefanou K., Iosif E.",10152881,"Cyprus Review",30, 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Hey, siri, what is the future of extension?","King D.",10775315,"Journal of Extension",56, 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Responding to a potentially disruptive technology : How big pharma embraced biotechnology","Birkinshaw J., Visnjic I., Best S.",00081256,"California Management Review",60, 4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"A framework for disruptive innovation","Rasool F., Koomsap P., Afsar B., Panezai B.A.",14636689,"Foresight",20, 3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2018,"Food engineering and food science and technology: Forward-looking journey to future new horizons","Saguy I.S., Roos Y.H., Cohen E.",14668564,"Innovative Food Science and Emerging Technologies",47, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Innovation in the australian legal profession","Waye V., Verreynne M.-L., Knowler J.",09695958,"International Journal of the Legal Profession",25, 2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2018,"Disruptive innovation patterns driven by mega-projects: A sustainable development pattern case of China's high-speed rail","Gui B., Liu Y., Ju Y., Ye X.",20711050,"Sustainability (Switzerland)",10, 4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Resources and market definition: Rethinking the “hypothetical monopolist” from a resource-based perspective","Monteiro G.F.A., Foss N.",01436570,"Managerial and Decision Economics",39, 3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Disruptive innovation and the creation of social capital in Indonesia’s urban communities","Suseno Y.",13602381,"Asia Pacific Business Review",24, 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Developmental Math Pilot: Massive Open Online Course (MOOC), Psychology Concepts, and Group Work","Lovell E.D., Elakovich D.",10668926,"Community College Journal of Research and Practice",42, 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"The classroom of the future: Disrupting the concept of contemporary business education","Tarabasz A., Selakovic M., Abraham C.",2353883X,"Entrepreneurial Business and Economics Review",6, 4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Does satisfaction of P2P online transportation affect consumer willingness to purchase their own vehicles?","Santoso A.S., Hadiansah I., Christoni E.",17533627,"International Journal of Business and Globalisation",21, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2018,"Calling for the next WHO Global Health Initiative: The use of disruptive innovation to meet the health care needs of displaced populations","Staruch R.M.T., Beverly A., Sarfo-Annin J.K., Rowbotham S.",20472978,"Journal of Global Health",8, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Interpretation of disruptive innovation in the era of smart cities of the fourth industrial revolution","Nick G., Pongracz F., Radacs E.",18212506,"DETUROPE",10, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Disruptive information and the cost of equity finance of small firms: Moderating of CEO succession mechanism","Kandil T., Taramol K.G., Bhavani G.",09752854,"Prabandhan: Indian Journal of Management",11, 1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2017,"Setting the parameters of ‘digital (criminal) justice’ in Scotland","Nellis M.",02645505,"Probation Journal",64, 3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2017,"Briefing: Disruptive socio-technical solutions to drive re-visualisation of water service provision","Caffoor I., Speight V., Boxall J.",17417589,"Proceedings of the Institution of Civil Engineers: Water Management",170, 3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2017,"Disruptive innovation in media industry ecosystem and need for improving managerial cognitive capabilities in polymediation era","Gholampour Rad M.",23311975,"Cogent Business and Management",4, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2017,"Disruptive innovation and merger remedies: How to predict the unpredictable?","Bary L., de Bure F.",17739578,"Concurrences",2017, 3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2017,"Sources of disruptive technologies for industrial change","Coccia M.",00197416,"Industria",38, 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2017,"[Representative variables of marketing and trading based innovation management model, Variables representativas de mercadeo y comercialización para un modelo de gestión de la innovación]","Fernandez-Ledesma J.D., Duque S.",00127353,"DYNA (Colombia)",84, 200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2017,"Why the networks can’t beat Netflix: speculations on the US OTT Services Market","Park E.-A.",23985038,"Digital Policy, Regulation and Governance",19, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2016,"Optimization research of latecomer firm innovative decision","Fu L., Cai X., He L.",10065911,"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",22, 12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
